word	C	count	sigma_nor
universe	39.1600903773	47	6.16069263723
x	34.6215294236	150	3.71679156784
field	31.1030675992	80	4.25208063968
gravitational	28.9836931582	88	3.90279384476
disc	25.8931848099	33	4.92357159638
body	23.467649482	156	2.80496440027
continuum	22.1324514192	55	3.71756824287
eq	21.2482869064	56	3.58802558139
energy	19.5704947973	23	4.37856056901
2	17.7998144642	87	2.78529385135
dimensional	17.1964697968	50	3.19162285218
surface	16.9457723286	49	3.17750082551
theory	16.1936985166	181	2.15899910947
euclidean	15.5893445686	49	3.00080097719
k	15.5130595404	107	2.41552432278
gif	15.3678654605	46	3.02410742727
equation	14.7156757925	26	3.41703714319
transformation	14.3485155229	52	2.794185477
motion	14.2087844083	110	2.27917581472
file	13.3877444971	47	2.74373061933
ordinates	13.140992205	63	2.51272736308
rods	12.9965798399	47	2.69186903162
reference	12.8807273856	149	2.00765082912
propositions	12.540656981	15	3.45774448288
co	12.444236003	127	2.0476127733
w	12.4190947444	23	3.12113703476
dx	12.3929848094	16	3.38157863297
0	11.948702105	30	2.85235423284
carriage	11.7014993875	50	2.48191210096
four	11.2479958325	35	2.64193207149
along	11.1032230676	19	3.01411397433
embankment	11.0469578468	52	2.37483567486
t	11.0134015856	43	2.48146164253
sun	11.0121679604	40	2.52475632238
lorentz	11.0005953699	47	2.42723642293
axis	10.7631960362	18	2.98391862018
b	10.6114237348	49	2.3523345552
rod	10.5630917654	33	2.57449612652
x1	10.4227882435	14	3.06677710392
train	10.329090064	26	2.67998367738
v	10.3161188727	46	2.34824884622
plane	10.0703528637	23	2.7081600939
3	10.0333175958	31	2.5288942236
light	10.019050708	105	1.91706269038
4	9.98266667307	24	2.66807666644
table	9.73513745759	14	2.92382246035
relativity	9.7280131068	192	1.67406671347
geometry	9.70538248603	31	2.47739081525
velocity	9.63187851121	97	1.91297187673
definition	9.58883218517	22	2.64814161557
points	9.44865713206	64	2.07386637589
1	9.40248467829	49	2.19484784326
finite	9.19237541318	14	2.81098851004
law	9.18149902895	95	1.8776879376
gaussian	9.05807573905	12	2.85609120626
earth	9.02370487846	27	2.44116522763
he	9.0020762531	44	2.19364179593
clock	8.91623619774	23	2.50523291232
observer	8.75088879959	22	2.49841557812
k1	8.62164029348	61	1.99796712365
principle	8.454432213	71	1.91678103804
description	8.29499548286	22	2.41695530169
mass	8.2919563362	34	2.21275186955
6	8.22184462149	11	2.7087727274
special	8.20340721021	56	1.98301296
rigid	8.15415259715	39	2.1306796145
time	8.09098986231	137	1.65398912383
will	8.05321064739	62	1.92420876227
numbers	8.03597667755	14	2.57058659025
ct	7.94832437837	14	2.55236469122
chest	7.92532780021	24	2.31193542507
world	7.81015029594	26	2.25674031656
circle	7.79470579514	14	2.52042916484
stone	7.72642035199	9	2.66557882915
you	7.67411739398	17	2.41592407236
radius	7.62809396437	18	2.38304733501
equations	7.51299448169	37	2.06016324845
general	7.28781271166	115	1.63664952467
centre	7.25932906455	19	2.29087058557
truth	7.10779454231	9	2.52021216877
space	7.01243771355	128	1.58314202777
clocks	6.9706219026	34	2.01266887876
ellipse	6.84403123056	9	2.45823222684
planet	6.84007032726	19	2.2119854473
measuring	6.83831365698	34	1.99263411026
galileian	6.80890966693	45	1.88676740561
relative	6.73535113042	89	1.65835207409
mercury	6.66461704846	9	2.41607291168
i	6.64374409676	120	1.56823505162
